Comentario Original;text;Polaridad Manual;Polaridad Obtenida
La maestra no es muy accesible y es un tanto prepotente.;  no   acces     prepotent;negative;neutral
La maestra siempre da su clase muy motivada, admiro la gran energía que siempre lleva.;  siempr da    motiv admir   energ  siempr llev;positive;positive
La maestra es muy activa y siempre muestra disposición a realizar todas las actividades.;    activ  siempr muestr disposicion  realiz tod ;positive;positive
Es una persona muy agradable, es una maestra que siempre está sonriendo y eso lo contagia.;    agrad     siempr esta sonr    contagi;positive;positive
es una persona capacitada y muy preparada, no tengo nada que reprocharle.;   capacit   prepar no    reproch;positive;negative
La clase va muy rápido y se dificulta el aprendizaje.;    rap   dificult ;negative;negative
es muy buena persona y tiene toda la disponibilidad para atendernos;  buen   tien   disponibil  atend;positive;positive
sus clases me parecen divertidas y muy didácticas.;   parec divert   didact;positive;positive
Es una materia ligera y muy interesante, no es nada aburrida, de hecho es divertida.;   liger   interes no   aburr  hech  divert;positive;positive
La verdad la maestra hace que la materia sea muy bonita.; verd   hac    sea  bonit;positive;positive
Es muy buena para dar a entender las cosas fácilmente.;  buen  dar  entend   facil;positive;positive
Desde mi punto de vista, la maestra ha mostrado un rendimiento excelente en sus sesiones de clase.;  punt  vist    mostr  rendimient excelent   sesion ;positive;positive
sus clases me parecen entretenidas e interesantes.;   parec entreten  interes;positive;positive
Su clase es dinámica, divertida y la docente muestra su dedicación y desempeño por la materia y nuestro aprendizaje.;    divert    muestr  dedic  desempeñ     nuestr;positive;positive
En lo particular he aprendido todo lo que nos ha impartido la maestra de una manera sorprendente.;  particul  aprend    nos  impart     maner sorprendent;positive;positive
La maestra me parece una persona maravillosa, muy entusiasta y se nota que le gusta su clase.;   parec   maravill  entusiast   not   gust ;positive;positive
Muy buena maestra y siempre es muy sonriente; buen   siempr   sonrient;positive;positive
Me agrada su sistema de trabajo; agrad  sistem ;positive;positive
No quisiera tener otro curso con el nunca mas.;no quis      nunc;negative;negative
Esta preparado para atender dudas siempre y eso es fascinante.; prepar  atend  siempr    fascin;positive;positive
No es buen profesor, no sabe mucho del tema y es bastante déspota.;no  buen  no        despot;negative;negative
ha perdido autoridad ante el grupo y eso no lo favorece.; perd autor      no  favorec;negative;negative
El profesor estimula la auto superación y fomenta en el alumno el interes continuo en la clase.;  estimul  aut super  foment     inter continu  ;positive;positive
Buen maestro, muy tranquilo y centrado en su clase;buen   tranquil  centr  ;positive;positive
tiene una manera muy peculiar de enseñar los temas y eso me encanta.;tien  maner  peculi  enseñ      encant;positive;positive
el maestro es muy bueno explicando, verifica dudas y participamos mucho.;    buen explic verif   particip;positive;positive
excelente profesor no tengo nada que decir en su contra.;excelent  no    dec   contr;positive;negative
Profesor muy activo y muy amable si tomaría una clase nuevamente con el;  activ   amabl si tom   nuev ;positive;positive
La actitud del profesor hacía mi no es adecuada ni muy placentera me falta al respeto.; actitud   hac  no  adecu ni  placenter  falt  respet;negative;negative
La clase es impecable nos fomenta seguridad y ayuda a fortalecernos como estudiantes.;   impec nos foment segur  ayud  fortalec  estudi;positive;positive
el profesor es irrespetuoso con algunos compañeros de clase.;   irrespetu    ;negative;negative
En mi opinión me ha impulsado mucho conocimientos que faltaban reafirmar.;  opinion   impuls muchoconoc  falt reafirm;positive;neutral
la forma de dirigirse a los alumnos es pésima y en ocasiones intrasigente.; form  dirig     pesim   ocasion intrasigent;negative;negative
Excelente profesor, promueve muchas aptitudes en los alumnos.;excelent  promuev  aptitud  ;positive;positive
Le falta trabajar mas el manejo de su voz.; falt trabaj   manej   voz;negative;positive
le falta control del grupo método para impartir clases y pulir detalles con respecto a su clase.; falt control   metod  impart   pul detall  respect  ;negative;positive
En realidad éste profesor a hecho remarcable mi experiencia universitaria.; realid este   hech remarc   universitari;positive;positive
es una maestra muy capaz que permite tomar interés en sus clases.;    capaz  permit  interes  ;positive;positive
El profesor divaga en los temas, pierde tiempo, en tonterías, desaprovechando totalmente la clase.;  divag    pierd   tont desaprovech total ;negative;negative
Debería de tomar un curso de como ser docente para que dejará de ser un mediocre.;deb           dej    mediocr;negative;negative
Es un profesor con experiencia en el campo y aporta siempre una retroalimentación a los trabajos.;       camp  aport siempr  retroaliment   trabaj;positive;positive
Excelente maestra que propicia la participación de los alumnos con las dinámicas en clase.;excelent   propici  particip      dinam ;positive;positive
NO ME GUSTA NADA SU CLASE, ES UNA PERSONA MUY GROSERA, ADEMAS NO RESUELVE LAS DUDAS.;no  gust        groser  no resuelv ;negative;negative
DEBERÍA DE TENER MAS AUTORIDAD FRENTE AL GRUPO.;deb    autor frent ;negative;negative
un poco mas de motivación al impartir la materia.;    motiv  impart ;negative;positive
Sólo le falta un poco de autonomía y exigencia con el grupo, más orden y generar autoridad delante de los compañeros;  falt    autonom  exigent     orden  gener autor delant  ;negative;positive
se desespera muy rápido y hace un ambiente un poco tenso .; desesper  rap  hac  ambient   tens;negative;negative
Es una materia fácil de aprender, y adémas fácil de comprender con la utilización de diferentes herramientas.;   facil  aprend  adem facil  comprend   utiliz  diferent herramient;positive;positive
Es un profesor excelente, explica muy bien los contenidos de los temas y los objetivos que se desean alcanzar.;   excelent explic  bien  conten      objet   des alcanz;positive;positive
NO ENTREGA LAS RÚBRICAS Y TAMPOCO MENCIONA LA FORMA DE EVALUAR DE LAS UNIDADES.;no entreg  rubric  tampoc mencion  form  evalu   unidad;negative;negative
El profesor es poco claro a la hora de dar sus clases eso es malo para el aprendizaje.;    clar     dar     mal  ;negative;neutral
DEBE MEJORAR LA FORMA DE EXPLICAR DUDAS PARA QUE LOS ALUMNOS PUEDAN COMPRENDER;deb mejor  form  explic      pued comprend;negative;positive
Muy buen maestro sabe explicar y nos tiene la paciencia de explicarnos de nuevo si no le entendimos alguna cosa.; buen   explic  nos tien  pacienci  explic  nuev si no  entend  cos;positive;positive
Es un profesor muy bueno ya que sus clases son estrictasy se esfuerza para poder dar lo mejor.;    buen      estrictasy  esfuerz   dar  mejor;positive;positive
Profesor admirable, sobresaliente, respetuoso por su forma de saber, hacer y ser.; admir sobresalient respetu   form    ;positive;positive
debería de respetar mas los horarios de salida y dejar de ser muy condescendiente con todos.;deb  respet     sal      condescendient ;negative;neutral
Me gusta su manera de dar las clases y de hacernos independientes.; gust  maner  dar     hac independient;positive;positive
El Profesor respeta diferentes puntos de vista, además de que cuenta con un carisma de positivismo al estar clase.;  respet diferent punt  vist       carism  positiv  ;positive;negative
conoce su materia, sabe transmitir sus conocimientos y es muy respetuoso con los alumnos.;conoc    transmit susconoc    respetu  ;positive;positive
Creo que el trabajo que el profesor desempeña permite un ambiente adecuado para nuestro aprendizaje.;cre       desempeñ permit  ambient adecu  nuestr;positive;positive
Me agrada la forma de trabajar del profesor, ojalá y en un futuro siga siendo mi profesor.; agrad  form  trabaj   ojal    futur sig  ;positive;positive
Agradable la clase, a la hora de trabajar todos cumplen los objetivos.;agrad       trabaj  cumpl  objet;positive;positive
Es un buen profesor, sabe lo que hace y enseña lo que debe. Hace que las clases sean mas entretenidas.;  buen     hac  enseñ   deb hac    sean  entreten;positive;positive
La Profesora imparte la materia con un ambiente satisfactorio para el aprendizaje.;  impart     ambient satisfactori  ;positive;positive
Creo que a la maestra le hace falta capacitarse un poco más, ya que sus clases son muy tediosas.;cre      hac falt capacit          tedi;negative;negative
NO SE APEGA AL MODELO EDUCATIVO DE LA UNIVERSIDAD Y ESO NOS PERJUDICA.;no  apeg  model educ   univers   nos perjud;negative;negative
La materia impartida de forma objetiva y correcta adémas con un ambiente armónico y placentero.;  impart  form objet  correct adem   ambient armon  placenter;positive;positive
Ha sido satisfactorio el contenido de cada una de las clases. Es un profesor respetable.; sid satisfactori  conten          respet;positive;positive
Excelente maestra en realidad es muy paciente, tolerante y se nota que ama su trabajo.;excelent   realid   pacient toler   not  ama ;positive;positive
Lo considero un buen profesor ya que nos ayuda de muy buena manera con las dudas.; consider  buen    nos ayud   buen maner  ;positive;positive
Al profesor le hace falta planear sus clases y ampliar los temas.;   hac falt plan    ampli ;negative;negative
Me molesta esta materia ya que no se pueden dar a conocer tus propios puntos de vista.; molest     no  pued dar  conoc  propi punt  vist;negative;negative
Debería de haber un poco más de respeto hacia sus alumnos.;deb  hab     respet  ;negative;neutral
Excelente profesor, ya que sus clases se entienden muy bien. y creo que tiene un buen método para dar su clase.;excelent       entiend  bien  cre  tien  buen metod  dar ;positive;positive
Le falta orden cuando plantea las actividades para evitar el desorden.; falt orden  plante    evit  desord;negative;negative
El profesor no fomenta la comunicacíon en clase y esto perjudica en las evaluaciones.;  no foment  comunicacion    esto perjud  ;negative;negative
Le hace falta propiciar mas práctica para que el alumno pueda aprender.; hac falt propici  practic     pued aprend;negative;positive
Le entiendo muy bien a todas sus clases. Más maestros como el por favor.; entiend  bien  tod        favor;positive;positive
Buen profesor pero me gustaria que fuera mas explicito en el momento de la explicación;buen  per  gustari  fuer  explicit   moment   explic;positive;positive
El profesor sobrepasa el límite del respeto permitiendo que se pierda el ambiente de cordialidad.;  sobrepas  limit  respet permit   pierd  ambient  cordial;positive;negative
Es un profesor objetivo y sabe que resultados quiere obtener.;   objet    result quier obten;positive;negative
Su exigencia me gusta.; exigent  gust;positive;neutral
Es un muy buen maestro te explica con claridad y hace todo lo posible por entender y aclarar todas las dudas;   buen   explic  clarid  hac   posibl  entend  aclar tod ;positive;positive
A mi criterio el maestro busca al explicar la manera mas sencilla para que le podamos entender a la clase;  criteri   busc  explic  maner  sencill    pod entend  ;positive;positive
Considero que el maestro, tiene la habilidad y capacidad de impartir su clase de manera efectiva.;consider    tien  habil  capac  impart    maner efect;positive;positive
Me gusta la manera en que el profesor trabaja, esto lo convierte en un excelente profesor.; gust  maner     trabaj esto  conviert   excelent;positive;positive
La mayoría de sus clase no entiendo lo que nos explica la maestra ya que lo imparte muy confuso.;     no entiend   nos explic      impart  confus;negative;negative
la maestra se confunde y no es muy congruente al momento de dar una explicacíon;   confund  no   congruent  moment  dar  explicacion;negative;negative
En ocasiones la maestra quiere abarcar mucho y nos confunde más.; ocasion   quier abarc   nos confund;negative;negative
En ocasiones no sabe como explicarnos las actividades y no retroalimenta.; ocasion no   explic    no retroaliment;negative;negative
No es una buena profesora y me confunden sus argumentos en la explicación.;no   buen    confund  argument   explic;negative;negative
Debería ser un poco más paciente;deb     pacient;negative;negative
Si le preguntamos algo literalmente se molesta y nos explica con reproche.;si  pregunt  literal  molest  nos explic  reproch;negative;negative
Le hace falta más concongruencia en sus temas.; hac falt  concongruent  ;negative;negative
No es de mi agrado las clases no explica muy bien y deja tareas solo por dejarlas.;no    agrad   no explic  bien  dej tar   dej;negative;negative
cumple con la materia de una mala manera y con una actitud deplorable.;cumpl      mal maner    actitud deplor;negative;negative
tiene mucha paciencia, haciendo que todos participemos, así logrando un mejor dominio del tema.;tien  pacienci hac   particip  logr  mejor domini ;positive;positive
La profesora demuestra la preparacion de sus clases. Aporta sus conocimientos de la materia y su forma de enseñanza es la adecuada.;  demuestr  preparacion    aport susconoc      form  enseñ   adecu;positive;positive
es de la mejores maestras de ingles que he tenido me gusta que sus clases sean prácticas.;   mejor      ten  gust    sean practic;positive;positive
Las clases son dinámicas y objetivas.;   dinam  objet;positive;negative
muy divertidas sus clases, siempre actividades diferentes para no hacer rutinarias las clases, es una excelente maestra.; divert   siempr  diferent  no  rutinari     excelent;positive;negative
La maestra hace su clase muy didáctica por lo que es fácil aprender;  hac    didact     facil aprend;positive;positive
Es una excelente maestra, siempre tiene sus clases muy bien preparadas.;  excelent  siempr tien    bien prepar;positive;positive
Es una persona muy preparada que siempre muestra su mejor actitud ante el grupo.;    prepar  siempr muestr  mejor actitud  ;positive;positive
Tiene mucho conocimientos y sabe como transmitirlos, lleva una relación muy buena con todos lo alumnos.;tien muchoconoc    transmit llev  relacion  buen   ;positive;positive
Excelente maestra que siempre imparte su clase con seguridad y dinámicas.;excelent   siempr impart    segur  dinam;positive;positive
La maestra es muy respetuosa y siempre preparada para su clase.;    respetu  siempr prepar  ;positive;positive
excelente manera de impartir la manera, de una manera sencilla al receptor.;excelent maner  impart  maner   maner sencill  receptor;positive;positive
Considero que es una maestra muy preparada para la materia, tiene mucho conocimiento y mantiene buena relación con el grupo.;consider      prepar    tien    mantien buen relacion  ;positive;positive
UNA MAESTRA MUY PREPARADA PARA LA MATERIA QUE ME IMPARTE;   prepar      impart;positive;positive
La maestra sabe mucho sobre el campo que enseña, hace sus clases muy didácticas y se apega a reglamentos de evaluación y enseñanza.;      camp  enseñ hac    didact   apeg  reglament  evalu  enseñ;positive;positive
Una excelente maestra, sabe como tratarnos y como enseñarnos bien, aparte es una gran persona.; excelent    trat   enseñ bien apart   ;positive;positive
Yo siento que a la maestra le falta más seguridad al momento de dar la clase y poner un poco de más orden.; sient      falt  segur  moment  dar    pon     orden;negative;positive
Es muy flexible al cuestionarle dudas sobre algunos ejercicios de la materia.;  flexibl  cuestion    ejercici  ;positive;negative
La maestra no sabe nada sobre su materia y no se le facilita enseñarla ni aclarar dudas.;  no       no   facilit enseñ ni aclar;negative;neutral
El maestro muestra mucha seguridad, tiene el dominio absoluto sobre su materia, sin duda un excelente maestro.;  muestr  segur tien  domini absolut       excelent;positive;positive
Su forma de trabajar me permite a mi como estudiante ser activa, autónoma y dinámica.; form  trabaj  permit    estudi  activ autonom ;positive;positive
Excelente dominio de sus clases, se da a notar, y siempre tiene la atención de todos.;excelent domini     da  not  siempr tien  atencion ;positive;positive
El profesor demuestra tener el conocimiento necesario para impartir clase y demuestra la responsabilidad que tiene como profesor.;  demuestr    necesari  impart   demuestr  respons  tien ;positive;positive
me parece muy objetiva la clase y que el profesor realmente se interesa en lograr que los alumnos obtengan el conocimiento.; parec  objet       realment  interes  logr    obteng ;positive;positive
me gustaría que la clase fuera mas relajada y hubiera mas confianza al momento de participar.; gust    fuer  relaj  hub  confianz  moment  particip;negative;positive
La maestra muestra la mejor disposición ante el grupo , permitiéndonos espacio para aportar nuestras ideas.;  muestr  mejor disposicion     permit espaci  aport nuestr ide;positive;positive
es flexible al explicar al alumno, utiliza diferentes métodos para que al final los alumnos sean competentes en sus evaluaciones.; flexibl  explic   utiliz diferent metod    final   sean competent  ;positive;neutral
Es muy buena maestra, pero le falta un poco de más seguridad en dar su clase.;  buen  per  falt     segur  dar ;negative;positive
Buena persona, responsable, comprensiva, trabajadora, además imparte una buena clase.;buen  respons comprens trabaj  impart  buen;positive;positive
LA MAESTRA NOS HA ANIMADO A ESFORZARNOS EN LA CARRERA Y A PERSEVERAR.;  nos  anim  esforz   carrer   persever;positive;positive
MUY BUENA PROFESORA, PREPARADA Y RESPETUOSA DURANTE SUS CLASES; buen  prepar  respetu durant ;positive;positive
Es muy buena maestra y es muy fácil aprender en su clase, sobre todo porque nos da la oportunidad de ser participativos.;  buen     facil aprend       nos da  oportun   particip;positive;positive
Falta un poco de práctica como docente;falt    practic ;negative;negative
Excelente maestra, explica claramente y si elimina dudas apoyandonos a resolverlas.;excelent  explic clar  si elimin  apoy  resolv;positive;positive
Es muy buena maestra, nos comprende a nosotros como su grupo y entre todos nos ayudamos a resolver los ejercicios;  buen  nos comprend  nosotr       nos ayud  resolv  ejercici;positive;positive
La maestra muestra una actitud de poca preparación ante el grupo y no permite la generación de nuevos conocimientos o actitudes.;  muestr  actitud  poc prepar     no permit  gener  nuevosconoc o actitud;negative;neutral
La maestra no sabe como a explicar ningun tema. Pide demasiados trabajos y no los revisa adecuadamente.;  no    explic ningun  pid  trabaj  no  revis adecu;negative;positive
Podrían mejorar sus clases. Debería darse una explicación previa de las actividades a desarrollar.; mejor   deb dars  explic previ     desarroll;negative;positive
la maestra, necesita un poco de mas vocabulario digerible para que el alumno entienda de manera mas sencilla;  necesit     vocabulari diger     entiend  maner  sencill;negative;positive
se siente cierta tensión en la clase lo que genera conflicto entre todos ya que no existe comunicación.; sient ciert tension      gener conflict     no exist comun;negative;negative
Preparar mejor sus temas, darle a entender al alumno las actividades que se realizarán además debería dar ideas claras.;prepar mejor   darl  entend       realiz  deb dar ide clar;negative;positive
Es difícil trabajar con esta maestra porque no resuelve dudas y hemos tenido con ella problemas por su actitud.; dificil trabaj     no resuelv   hem ten      actitud;negative;negative
Siempre muestra la mejor actitud ente el grupo y todas sus actividades siempre nos impulsan a algo nuevo;siempr muestr  mejor actitud ente    tod   siempr nos impuls   nuev;positive;positive
El profesor hace un muy buen trabajo al mostrar dinámicas para la integración del grupo.;  hac   buen   mostr dinam   integr ;positive;positive
El profesor demuestra ante el grupo que sabe lo que realiza en clase, prepara la clase con anticipacion y es muy respetuoso.;  demuestr        realiz   prep    anticipacion    respetu;positive;positive
Excelente profesor que propicia la unión del grupo y la amistad.;excelent   propici  union     amist;positive;positive
hace sentirnos en confianza y logra romper la barrera de autoridad sin perder el respeto.;hac sent  confianz  logr romp  barrer  autor  perd  respet;positive;positive
Considero que el docente esta muy capacitado y tiene mucha disposición hacia sus alumnos;consider      capacit  tien  disposicion  ;positive;positive
El profesor no se desespera si no le entendemos a algun tema.;  no  desesper si no  entend  algun;positive;negative
Su clase es dinamica, entretenida y hace que nosotros los alumnos nos interesemos sobre el tema.;    entreten  hac  nosotr   nos interes  ;positive;positive
Me gusta mucho en general la manera en como desarrolla los temas, sus explicaciones, su entusiasmo y efectividad.; gust   general  maner   desarroll    explic  entusiasm  efect;positive;positive
Desempeño excelente.;desempeñ excelent;positive;positive
Necesita poner mas orden y ser mas estricto con los alumnos irrespetuosos;necesit pon  orden    estrict    irrespetu;negative;negative
Logra la atención de los alumnos pero mas que nada logra el entendimiento y muestra disposición ante el grupo.;logr  atencion    per    logr  entend  muestr disposicion  ;positive;positive
Me gustan sus clases ya que nos estimula a aprender con y sin el profesor.; gust     nos estimul  aprend    ;positive;positive
Me gusta mucho la forma en que da sus clases, la facilidad que tiene para identificar las necesidades del grupo.; gust   form   da    facil  tien  identific  neces ;positive;positive
Es un excelente maestro el cual te explica coherentemente las cosas y se me facilita el aprendizaje.;  excelent     explic coherent      facilit ;positive;positive
me gusta mucho la manera que el profe nos trasmite su aprendizaje , y nos ayuda , es uno de mis mejores profesores; gust   maner    nos trasmit     nos ayud      mejor;positive;positive
Me gusta mucho la forma en cómo da importancia a los puntos claves de los temas expuestos y deja claro el objetivo de la materia.; gust   form  com da import   punt clav    expuest  dej clar  objet  ;positive;negative
Sus programa esta bien, solo falta un poco mas de interacción entre el grupo.; program  bien  falt     interaccion  ;positive;negative
Me parece muy eficaz su manera de enseñar y plantear nuestras actividades y evaluaciones formativas.; parec  eficaz  maner  enseñ  plant nuestr    format;positive;positive
Deberia ser un poco mas paciente;deberi     pacient;negative;negative
Responde a tus dudas de una manera burlesca faltandote al respeto usando sarcasmo.;respond      maner burlesc faltandot  respet usand sarcasm;negative;neutral
Considero que le falta mayor conocimiento respecto de la materia, así como llevar a la práctica sesiones más didácticas.;consider   falt   respect      llev   practic sesion  didact;negative;positive
Es muy buena maestra, explica de manera clara los temas y aclara dudas de manera efectiva.;  buen  explic  maner clar    aclar   maner efect;positive;positive
Le hace falta un poco mas de conocimientos sobre la materia, mas explicación por su parte.; hac falt    deconoc     explic   part;negative;negative
Le falta conocimiento en cuanto al uso de las herramientas que el nos pide dominar, no acepta retroalimentación.; falt        herramient   nos pid domin no acept retroaliment;negative;positive
CUANDO UN ALUMNO TIENE DUDAS Y LE PREGUNTA SE DESESPERA Y SE MOLESTA MUY RÁPIDO.;   tien    pregunt  desesper   molest  rap;negative;negative
Sus clases son muy dinamicas, entendibles, y tiene una excelente dispocisión y empatia con nosotros.;    dinam entend  tien  excelent dispocision  empati  nosotr;positive;positive
ES UNA MAESTRA QUE SABE MUCHO PERO SE BATALLA A LA HORA DE EXPLICAR EL TEMA.;      per  batall     explic ;negative;positive
Es dinamico, ameno, involucra actividades donde podemos participar y todos vamos contruyendo el aprendizaje.; dinam ameno involucr    particip    contru ;positive;positive
Debería hablar mas alto y no escribir en cursiva es muy difícil entenderle su letra.;deb habl  alto  no escrib  cursiv   dificil entend  letr;negative;negative
me gustaria que fuera no fuera tan aburrida o mas ejemplos entendibles para aterrizar mis ideas.; gustari  fuer no fuer  aburr o   entend  aterriz  ide;negative;negative
Su forma de calificar no tiene coherencia no explica nada durante la clase y aun así exige trabajos.; form  calific no tien coherent no explic  durant      exig trabaj;negative;positive
Es un bipolar y cambia las evaluaciones a su beneficio.;  bipol  cambi     benefici;negative;negative
Me gustan las clases del profesor, pero necesita un poco mas de flexibilidad al evaluar.; gust     per necesit     flexibil  evalu;positive;neutral
Enfoca las clases a solo cierto grupo de alumnos, siendo elitista y egoísta.;enfoc     ciert     elit  egoist;negative;negative
No me parece adecuada la manera en que se dirige sus alumnos, pareciera que tiene favoritismos.;no  parec adecu  maner    dirig   parec  tien favorit;negative;positive
No me parece bien que sean los alumnos quienes dan la clase entonces para que queremos un profesor.;no  parec bien  sean   quien dan      quer ;negative;negative
Muy buen maestro se concreta a su materia impartiendola de una manera en donde todos aprendamos.; buen   concret    impart   maner    aprend;positive;positive
Es un profesor con amplio conocimiento que lo transmite eficientemente.;    ampli    transmit eficient;positive;positive
Me gustaría que para esa materia hubiera sido un profesor con mas experiencia de acuerdo al tema; gust     hub sid       acuerd ;negative;positive
El profesor siempre nos pone retos que logramos cumplir satisfactoriamente.;  siempr nos pon ret  logr cumpl satisfactori;positive;positive
Excelente profesor. Explica todo muy bien, resuelve claramente cualquier tipo de duda.;excelent  explic   bien resuelv clar  tip ;positive;positive
Excelente persona siempre sonriendo y muy respetuoso;excelent  siempr sonr   respetu;positive;positive
LA PROFESORA ES MUY PACIENTE CON NOSOTROS, ES RESPETUOSA Y SU APRENDIZAJE LO APLICA BIEN.;    pacient  nosotr  respetu     aplic bien;positive;positive
El profesor hace procesable y entendible su materia para todos sus alumnos.;  hac proces  entend     ;positive;positive
Lo que le ayuda muchisimo a la maestra es su organización y que los temas los haga más interesantes. Me encanta su clase.;   ayud       organiz      hag  interes  encant ;positive;positive
Es una maestra que siempre se esta quejando por cualquier razón y eso es cansado.;    siempr   quej   razon    cans;negative;negative
Nada le parece y siempre esta de mal humor.;  parec  siempr   mal humor;negative;neutral
Esta materia se ha hecho un curso muy útil para nosotros como administradores.;    hech    util  nosotr  administr;positive;positive
La maestra solo busca el beneficio propio y no el ayudar a sus alumnos.;   busc  benefici propi  no  ayud  ;negative;positive
su forma de contestar a las preguntas es agresiva.; form  contest   pregunt  agres;negative;negative
No me gusta que el maestro no escucha nuestras ideas ni resuelve nuestras dudas.;no  gust    no escuch nuestr ide ni resuelv nuestr;negative;negative
Los temas los hace aburridos porque se desvía muchisímo del tema central.;   hac aburr   desv muchisim   central;negative;negative
La manera en la que se expresa no es la correcta, y no le gusta aclarar dudas por que le gusta reprobar gente.; maner     expres no   correct  no  gust aclar     gust reprob gent;negative;positive
ME GUSTARÍA QUE FUERA UN POCO MAS FLEXIBLE Y QUE NOS PERMITIERA DAR NUESTRO PUNTO DE VISTA.; gust  fuer    flexibl   nos permit dar nuestr punt  vist;negative;positive
No nos permite expresarnos tan libremente y eso es reprimir a las personas.;no nos permit expres  librement    reprim  ;negative;neutral
Es un maestro grosero, arrogante y no tiene toleracia para sus alumnos.;   groser arrog  no tien toleraci  ;negative;negative
EL PROFESOR ES MUY GROSERO, NO ACEPTA QUE LE DEMOS NUESTRO PUNTO DE VISTA, NOS CALLA DE MANERA GROSERA.;    groser no acept   dem nuestr punt  vist nos call  maner groser;negative;negative
La maestra debería darse a respetar para poder tener autoridad.;  deb dars  respet    autor;negative;neutral
No tiene autoridad sobre el grupo, todos hacen lo que quieren y no le ponen la más mínima atención a la maestra.;no tien autor        quier  no  pon   minim atencion  ;negative;negative
Es una buena maestra que trata de ayudarnos y apoyarnos en nuestras inquietudes.;  buen   trat  ayud  apoy  nuestr inquietud;positive;positive
Es un profesor muy preparado educativamente y todos lo queremos.;    prepar educ    quer;positive;positive
NOS BRINDA MUY POCO TIEMPO PARA COMPRENDER Y RAZONAR TEMAS QUE SON ALGO COMPLICADOS.;nos brind     comprend  razon     complic;negative;positive
ES UN MAESTRO CON MUCHO CONOCIMIENTO, CAPACIDAD Y PACIENCIA.;      capac  pacienci;positive;positive
EL PROFESOR DEBE SER MAS ESTRICTO Y TOMAR EL LUGAR QUE LE CORRESPONDE ADEMÁS DE SER COMPROMETIDO.;  deb   estrict    lug   correspond    compromet;negative;negative
Es una persona muy objetiva y directa, muy buena maestra;    objet  direct  buen;positive;negative
Una gran maestra con un amplio conocimiento de los temas vistos en clase, mucha exigencia lo cual ayuda a ser mejores estudiantes.;     ampli     vist    exigent   ayud   mejor estudi;positive;positive
El profesor práctica la violencia en el salón de clases y eso es un delito.;  practic  violenci   salon       delit;negative;neutral
No me gusta su clase es muy irrespetuoso y no aclara dudas;no  gust     irrespetu  no aclar;negative;negative
El profesor debería de dejarnos a nosotros tambien decirle lo que pensamos.;  deb  dej  nosotr tambi dec   pens;negative;negative
Es muy sarcástico y eso es negative.;  sarcast    negat;negative;negative
NO ME GUSTA QUE NO EXPLICA Y QUE FALTE AL RESPETO A LOS ALUMNOS;no  gust  no explic   falt  respet  ;negative;negative
ES UN MAESTRO QUE TIENE CONOCIMIENTO PERO LE FALTA EDUCACION AL DIRIGIRSE A LOS ALUMNOS,EN OCASIONES ES DESPOTA.;    tien  per  falt educacion  dirig   alumn ocasion  despot;negative;negative
Es un profesor muy culto y me encanta su comportamiento.;    cult   encant  comport;positive;positive
sus clases son muy interesantes y las horas se pasan muy rápido.;    interes   hor  pas  rap;positive;positive
Es un excelente maestro, muy culto, dinámico.;  excelent   cult dinam;positive;positive
Un excelente profesor, con un amplio conocimiento, con una cultura impresionante que en realidad tiene mucho que aportarnos.; excelent    ampli    cultur impresion   realid tien   aport;positive;positive
TIENE UN CONOCIMIENTO MUY AMPLIO, SUS CLASES SON MUY DINAMICAS Y NOS AYUDA MUCHO EN LA CARRERA.;tien    ampli     dinam  nos ayud    carrer;positive;positive
BUENA MAESTRA PACIFICA, TOLERANTE Y AGRADABLE.;buen  pacif toler  agrad;positive;positive
LA CLASE NO ES MUY LLAMATIVA, EN OCASIONES ES TEDIOSA;  no   llamat  ocasion  tedios;negative;negative
LA MAESTRA NO SABE DEL TEMA YA QUE MUCHAS VECES SE CONTRADICE.;  no       vec  contradic;negative;negative
El profesor sabe de lo que habla, sin embargo en esta materia vamos muy lentos;      habl  embarg      lent;negative;negative
El avance de los temas de la materia son muy pocos y eso nos perjudica.; avanc            nos perjud;negative;negative
No conoce temas básicos que debería de conocer como mínimo.;no conoc  basic  deb  conoc  minim;negative;negative
El profesor es muy poco tolerante y es muy egocéntrico.;     toler    egocentr;negative;neutral
es una clase importante y no se ha impartido de forma correcta, el conocimiento es nulo.;   import  no   impart  form correct    nul;negative;positive
El profesor no sabe dar clase y tampoco es congruente con lo que nos pide que hagamos;  no  dar   tampoc  congruent    nos pid  hag;negative;negative
CREO QUE EL PROFESOR NO TIENE DOMINIO DE LOS TEMAS Y NO SABE COMO RESPONDERNOS DE MANERA ADECUADA.;cre    no tien domini     no   respond  maner adecu;negative;positive
Me parece que la maestra podría dar mejor la clase y no desvíarse del tema que explica.; parec     dar mejor    no desv    explic;negative;negative
Deberían de contratar a profesores que tengan experiencia en la materia o en los temas.;deb  contrat    teng     o  ;negative;negative
Solo toma en cuenta a las personas que ya saben mientras que los que a los que no sabemos no nos toma en cuento; tom        sab        no  no nos tom  cuent;negative;neutral
El profesor no respeta la vestimenta de los alumnos, discriminando a los mismos.;  no respet  vestiment    discrimin   mism;negative;negative
Debería de permitir salir al baño ya que esto puede ocasionar un problema.;deb  permit sal  bañ   esto  ocasion  problem;negative;negative
Clases directas, buenos examenes y muy honesta con su forma de calificar.; direct buen examen   honest   form  calific;positive;positive
