termino,fs,polaridad,Observación,
irritar,strongsubj,negative,,irritar
jovial,strongsubj,positive,,jovial
jubilar,strongsubj,positive,,jubilar
juicioso,strongsubj,positive,,juicioso
justo,strongsubj,positive,,justo
laborioso,strongsubj,positive,,laboriosamente
lamentar,strongsubj,negative,,lamentar
lastima,strongsubj,negative,,lastima
leal,strongsubj,positive,,leal
legal,strongsubj,positive,,legal
lento,weaksubj,negative,,lento
leve,weaksubj,negative,,leve
liberar,strongsubj,positive,,liberar
libertad,strongsubj,positive,,libertad
silencioso,weaksubj,negative,,silencioso
líder,strongsubj,positive,,líder
ligero,weaksubj,positive,,ligero
límite,weaksubj,negative,,límite
linda,strongsubj,positive,,linda
listo,strongsubj,positive,,listo
llamativo,strongsubj,positive,,llamativo
llorar,strongsubj,negative,,llorar
locura,weaksubj,negative,,locura
lógico,weaksubj,positive,,lógico
lograr,strongsubj,positive,,lograr
luchar,strongsubj,positive,,luchar
lúcido,strongsubj,positive,,lúcido
lujo,weaksubj,positive,,lujo
lunático,weaksubj,negative,,lunático
macabro,strongsubj,negative,,macabro
machista,strongsubj,negative,,machista
maduro,strongsubj,positive,,maduro
magnífico,strongsubj,positive,,magnífico
magro,weaksubj,positive,,magro
mal,strongsubj,negative,,mal
maldito,strongsubj,negative,,maldito
malentendido,strongsubj,negative,,malentendido
malestar,strongsubj,negative,,malestar
malhumorado,strongsubj,negative,,malhumorado
malo,strongsubj,negative,,malo
maloliente,strongsubj,negative,,maloliente
maltratar,strongsubj,negative,,maltratar
malvados,strongsubj,negative,,malvados
manchar,weaksubj,negative,,manchar
mandato,weaksubj,negative,,mandato
maneja,weaksubj,positive,,maneja
maníaco,strongsubj,negative,,maníaco
manipular,strongsubj,negative,,manipular
maravilla,strongsubj,positive,,maravilla
martirio,strongsubj,negative,,martirio
mejor,strongsubj,positive,,mejor
melancólico,weaksubj,negative,,melancólico
melodramático,weaksubj,negative,,melodramático
memorable,strongsubj,positive,,memorable
menospreciar,strongsubj,negative,,menospreciar
mentir,strongsubj,negative,,mentir
merecer,strongsubj,positive,,merecer
meticuloso,weaksubj,positive,,meticuloso
miedoso,strongsubj,negative,,miedoso
mimar,weaksubj,positive,,mimar
miserable,strongsubj,negative,,miserable
misericordioso,strongsubj,positive,,misericordioso
misterio,weaksubj,negative,,misterio
moderado,weaksubj,positive,,moderado
modesto,strongsubj,positive,,modesto
mofarse,strongsubj,negative,,mofarse
mojigato,strongsubj,negative,,mojigato
molestar,strongsubj,negative,,molestar
monótono,strongsubj,negative,,monótono
monstruoso,strongsubj,negative,,monstruoso
moral,strongsubj,positive,,moral
mortificar,strongsubj,negative,,mortificar
motiva,strongsubj,positive,,motiva
mugre,strongsubj,negative,,mugre
nada,weaksubj,negative,,nada
necedad,strongsubj,negative,,necedad
necesita,weaksubj,negative,,necesita
necio,strongsubj,negative,,necio
negativo,strongsubj,negative,,negativo
negligente,strongsubj,negative,,negligente
nervios,weaksubj,negative,,nervios
neurótico,strongsubj,negative,,neurótico
nop,strongsubj,negative,,nop
noble,strongsubj,positive,,noble
notorio,weaksubj,positive,,notorio
obedecer,strongsubj,positive,,obedecer
obligar,strongsubj,negative,,obligar
obsceno,strongsubj,negative,,obsceno
obsesión,strongsubj,negative,,obsesión
obsoleto,strongsubj,negative,,obsoleto
obstruir,weaksubj,negative,,obstruir
ocupado,weaksubj,negative,,ocupado
odioso,strongsubj,negative,,odioso
ofender,strongsubj,negative,,ofender
olvida,strongsubj,negative,,olvida
omitir,weaksubj,negative,,omitir
oportunidad,strongsubj,positive,,oportunidad
oposición,strongsubj,negative,,oposición
óptima,strongsubj,positive,,óptima
optimista,strongsubj,positive,,optimista
ordenar,strongsubj,negative,,ordenar
orgullo,strongsubj,positive,,orgullo
ostiga,strongsubj,negative,,ostiga
peor,strongsubj,negative,,peor
perdedor,weaksubj,negative,,perdedor
perezoso,strongsubj,negative,,perezoso
perfección,strongsubj,positive,,perfección
perjudica,strongsubj,negative,,perjudica
perplejo,weaksubj,negative,,perplejo
perro,strongsubj,negative,,perro
perseverar,strongsubj,positive,,perseverar
persistente,strongsubj,positive,,persistente
perspicaz,strongsubj,positive,,perspicaz
persuadir,strongsubj,positive,,persuadir
pertinente,strongsubj,positive,,pertinente
pervertido,strongsubj,negative,,pervertido
pesado,strongsubj,negative,,pesado
pésimo,strongsubj,negative,,pesima
pierde,strongsubj,negative,,pierde
planea,strongsubj,positive,,planea
positivo,weaksubj,positive,,positivo
preferencia,strongsubj,negative,,preferencia
presumido,strongsubj,negative,,presumido
prudente,strongsubj,positive,,prudente
puntual,strongsubj,positive,,puntual
queja,strongsubj,negative,,queja
rebelde,strongsubj,negative,,rebelde
reclamar,strongsubj,negative,,reclamar
reforzar,strongsubj,positive,,reforzar
refutar,strongsubj,positive,,refutar
regaña,strongsubj,negative,,regaña
relajo,strongsubj,negative,,relajo
rencor,strongsubj,negative,,rencor
reniega,strongsubj,negative,,reniega
renovarse,strongsubj,positive,,renovarse
represalías,strongsubj,negative,,represalías
reproche,strongsubj,negative,,reproche
repugnante,strongsubj,negative,,repugnante
repulsivo,strongsubj,negative,,repulsivo
resentido,strongsubj,negative,,resentido
respetuoso,strongsubj,positive,,respetuoso
responsable,strongsubj,positive,,responsable
resuelve,strongsubj,positive,,resuelve
retraso,weaksubj,negative,,retraso
retroalimenta,strongsubj,positive,,retroalimenta
revoltoso,strongsubj,negative,,revoltoso
ridículo,strongsubj,negative,,ridículo
sarcástico,strongsubj,negative,,sarcástico
selectivo,strongsubj,negative,,selectivo
sencillo,weaksubj,positive,,sencillo
sensato,strongsubj,positive,,sensato
sensible,weaksubj,positive,,sensible
serio,strongsubj,positive,,serio
sermonear,strongsubj,negative,,sermonear
sobresaliente,strongsubj,positive,,sobresaliente
solidario,strongsubj,positive,,solidario
soportable,weaksubj,positive,,soportable
suave,weaksubj,negative,,suave
subestimar,strongsubj,negative,,subestimar
sucio,strongsubj,negative,,sucio
sueño,weaksubj,negative,,sueño
suficiente,weaksubj,positive,,suficiente
súper,strongsubj,positive,,súper
superficial,strongsubj,negative,,superficial
superior,weaksubj,positive,,superior
sutil,weaksubj,positive,,sutil
tacto,strongsubj,positive,,tacto
talento,strongsubj,positive,,talento
tarda,strongsubj,negative,,tarda
tartamudea,strongsubj,negative,,tartamudea
tediosa,strongsubj,negative,,tediosa
temible,strongsubj,negative,,temible
temor,strongsubj,negative,,temor
temperamental,strongsubj,negative,,temperamental
tenaz,strongsubj,positive,,tenaz
tenso,weaksubj,negative,,tenso
terco,strongsubj,negative,,terco
ternura,strongsubj,positive,,ternura
terrible,strongsubj,negative,,terrible
terror,strongsubj,negative,,terror
testarudo,strongsubj,negative,,testarudo
tétrico,strongsubj,negative,,tétrico
tierno,weaksubj,positive,,tierno
timador,strongsubj,negative,,timador
tímido,weaksubj,negative,,tímido
tiranía,strongsubj,negative,,tiranía
tolerar,weaksubj,positive,,tolerar
tonto,strongsubj,negative,,tonto
torpe,strongsubj,negative,,torpe
tortura,strongsubj,negative,,tortura
tosco,strongsubj,negative,,tosco
trabajador,strongsubj,positive,,trabajador
traidor,strongsubj,negative,,traidor
trampa,weaksubj,negative,,trampa
tranquilo,strongsubj,positive,,tranquilo
transmite,strongsubj,positive,,transmite
trastornar,strongsubj,negative,,trastornar
trata,weaksubj,positive,,trata
traumar,strongsubj,negative,,traumar
travieso,strongsubj,negative,,travieso
tristeza,strongsubj,negative,,tristeza
último,weaksubj,positive,,último
útil,strongsubj,positive,,útil
vago,strongsubj,negative,,vago
valiente,strongsubj,positive,,valiente
valor,strongsubj,positive,,valor
vanguardia,strongsubj,positive,,vanguardia
vanidad,weaksubj,negative,,vanidad
venerable,strongsubj,positive,,venerable
venerar,strongsubj,positive,,venerar
vengar,strongsubj,negative,,vengar
ventaja,strongsubj,positive,,ventaja
verdad,strongsubj,positive,,veraz
vergüenza,strongsubj,negative,,vergonzoso
víbora,strongsubj,negative,,viable
vicio,strongsubj,negative,,víbora
víctima,strongsubj,negative,,vicioso
vil,strongsubj,negative,,vigoroso
volátil,weaksubj,negative,,vivaz
vulgar,weaksubj,negative,,voluntario
vulnerable,weaksubj,negative,,vulgar
zoquete,strongsubj,negative,,vulnerable
sabe,strongsubj,positive,,aburrida
primeriza,weaksubj,negative,,sabe
demostrar,strongsubj,positive,,primeriza
pega,weaksubj,negative,,demostrar
